name,frequency,percentage,ranking,gender,year
30,Gabriele,5036.0,1.85,12.0,M,2001.0
2,Lorenzo,8240.0,3.03,5.0,M,2001.0
27,Luca,7023.0,2.58,6.0,M,2001.0
3,Marco,6485.0,2.38,7.0,M,2001.0
53,Gaia,4712.0,1.83,7.0,F,2001.0
28,Simone,6222.0,2.29,8.0,M,2001.0
54,Federica,4352.0,1.69,9.0,F,2001.0
79,Anna,3615.0,1.41,9.0,F,2001.0
4,Davide,5840.0,2.15,9.0,M,2001.0
29,Giuseppe,5292.0,1.94,10.0,M,2001.0
5,Mattia,5159.0,1.9,11.0,M,2001.0
80,Sofia,3473.0,1.35,11.0,F,2001.0
52,Martina,8036.0,3.13,5.0,F,2001.0
87,Marta,2017.0,0.78,25.0,F,2001.0
62,Eleonora,2051.0,0.8,25.0,F,2001.0
12,Emanuele,2564.0,0.94,25.0,M,2001.0
94,Ludovica,1364.0,0.53,39.0,F,2001.0
69,Matilde,1373.0,0.53,39.0,F,2001.0
44,Gianluca,1569.0,0.58,40.0,M,2001.0
95,Serena,1357.0,0.53,41.0,F,2001.0
70,Greta,1359.0,0.53,41.0,F,2001.0
20,Domenico,1549.0,0.57,41.0,M,2001.0
45,Angelo,1433.0,0.53,42.0,M,2001.0
71,Valeria,1354.0,0.53,43.0,F,2001.0
21,Jacopo,1403.0,0.52,43.0,M,2001.0
96,Asia,1297.0,0.5,43.0,F,2001.0
19,Cristian,1609.0,0.59,39.0,M,2001.0
46,Mario,1354.0,0.5,44.0,M,2001.0
97,Simona,1250.0,0.49,45.0,F,2001.0
22,Roberto,1265.0,0.46,45.0,M,2001.0
47,Enrico,1264.0,0.46,46.0,M,2001.0
73,Erika,1248.0,0.49,47.0,F,2001.0
98,Caterina,1240.0,0.48,47.0,F,2001.0
23,Niccolo,1242.0,0.46,47.0,M,2001.0
48,Raffaele,1208.0,0.44,48.0,M,2001.0
99,Margherita,1132.0,0.44,49.0,F,2001.0
24,Alex,1188.0,0.44,49.0,M,2001.0
74,Marika,1152.0,0.45,49.0,F,2001.0
72,Lucia,1258.0,0.49,45.0,F,2001.0
43,Fabio,1779.0,0.65,38.0,M,2001.0
49,Giorgio,1145.0,0.42,50.0,M,2001.0
68,Veronica,1460.0,0.57,37.0,F,2001.0
93,Angela,1375.0,0.54,37.0,F,2001.0
37,Giacomo,2540.0,0.93,26.0,M,2001.0
63,Noemi,1976.0,0.77,27.0,F,2001.0
13,Nicolo,2534.0,0.93,27.0,M,2001.0
88,Camilla,1865.0,0.73,27.0,F,2001.0
38,Nicola,2506.0,0.92,28.0,M,2001.0
64,Irene,1864.0,0.73,29.0,F,2001.0
89,Rebecca,1748.0,0.68,29.0,F,2001.0
39,Tommaso,2498.0,0.92,30.0,M,2001.0
90,Roberta,1689.0,0.66,31.0,F,2001.0
65,Claudia,1692.0,0.66,31.0,F,2001.0
14,Salvatore,2503.0,0.92,29.0,M,2001.0
40,Edoardo,2052.0,0.75,32.0,M,2001.0
91,Michela,1581.0,0.62,33.0,F,2001.0
66,Benedetta,1608.0,0.63,33.0,F,2001.0
18,Alberto,1835.0,0.67,37.0,M,2001.0
16,Manuel,2026.0,0.74,33.0,M,2001.0
41,Christian,2018.0,0.74,34.0,M,2001.0
67,Sabrina,1517.0,0.59,35.0,F,2001.0
92,Nicole,1485.0,0.58,35.0,F,2001.0
17,Luigi,1876.0,0.69,35.0,M,2001.0
42,Paolo,1841.0,0.68,36.0,M,2001.0
15,Vincenzo,2471.0,0.91,31.0,M,2001.0
58,Valentina,2854.0,1.1,17.0,F,2002.0
8,Giovanni,3923.0,1.44,17.0,M,2002.0
32,Alessio,4149.0,1.53,16.0,M,2002.0
56,Anna,3619.0,1.4,13.0,F,2002.0
57,Giada,3235.0,1.25,15.0,F,2002.0
82,Elena,2969.0,1.15,15.0,F,2002.0
31,Antonio,4422.0,1.63,14.0,M,2002.0
